Calories,Protein,Fats,Carbohydrates,StringId,EatenTimes
83,18,0.8,0,Креветка,0
5,0.9,0.2,3,Морская_капуста,0
137,18.9,6.8,0,Паста_Океан,0
35,7.3,0.6,0,Трепанг,0
251,31.6,13.8,0,Кеты_зернистая,0
142,24.7,4.8,0,Лещевая_пробойная,0
131,28.4,1.9,0,Минтаевая_пробойная,0
203,28.9,9.7,0,Осетровая_зернистая,0
123,36,10.2,0,Осетровая_пробойная,0
704,16.1,66.9,9.9,Фундук,0
645,18.6,57.7,13.6,Миндаль,0
648,13.8,61.3,10.2,Грецкий_орех,0
548,26.3,45.2,9.7,Арахис,0
578,20.7,52.9,5,Семя_подсолнечника,0
308,0.8,0,80.3,Мед,0
384,3.7,10.2,73.1,Драже_фруктовое,0
299,0.8,0,78.3,Зефир,0
387,3.3,7.5,81.8,Ирис,0
296,0,0.1,77.7,Мармелад,0
296,0,0.1,77.7,Карамель,0
396,2.9,10.7,76.6,Конфеты_глаз-ые_шоколадом,0
305,0.5,0,80.4,Пастила,0
374,0.3,0,99.5,Сахар,0
510,12.7,29.9,50.6,Халва_тахинная,0
516,11.6,29.7,54,Халва_подсолнечная,0
540,5.4,35.3,52.6,Шоколад_темный,0
547,6.9,35.7,52.4,Шоколад_молочный,0
342,3.2,2.8,80.1,Вафли_с_фр-ми_начинками,0
530,3.4,30.2,64.7,Вафли_с_жировыми_начинками,0
544,5.4,38.6,46.4,Пирожное_слоеное_с_кремом,0
454,5.7,25.6,52.7,Пирожное_слоеное_с_яблоком,0
344,4.7,9.3,84.4,Пирожное_бисквитное,0
336,4.8,2.8,77.7,Пряники,0
386,4.7,20,49.8,Торт_бисквитный,0
524,6.6,35.8,46.8,Торт_миндальный,0
367,14,1,74,Мука_гречневая,0
330,7,1,70,Мука_кукурузная_диетическая,0
331,11,1,68,Мука_пшеничная_1-го_сорта,0
324,12,2,64,Мука_пшеничная_2-го_сорта,0
334,10,1,69,Мука_пшеничная_высшего_сорта,0
298,12,2,57,Мука_пшеничная_обойная,0
345,7,1,77,Мука_ржаная,0
298,9,2,60,Мука_ржаная_обдирная,0
293,11,2,57,Мука_ржаная_обойная,0
371,7,1,82,Мука_рисовая_диетическая,0
191,15,4,23,Отруби_пшеничные,0
369,10,8,62,Белый_хлеб_хрустящий,0
313,16,15,28,Булочки_диетические_с_лецитином,0
277,9,1,56,Лаваш,0
216,23,3,11,Хлеб_белково-отрубевой,0
207,7,1,41,Хлеб_бородинский,0
247,8,3,47,Хлеб_докторский,0
203,8,2,38,Хлеб_Здоровье,0
228,9,1,44,Хлеб_зерновой,0
203,8,2,38,Хлеб_пониженной_калорийности,0
238,8,1,49,Хлеб_пшеничный_из_муки_высшего_сорта,0
209,9,1,39,Хлеб_пшеничный_подовый,0
195,8,1,36,Хлеб_пшеничный_формовой,0
195,7,1,37,Хлеб_ржаной_московский,0
206,6,1,41,Хлеб_ржаной_подовый,0
181,7,1,34,Хлеб_ржаной_формовой,0
291,10,2,56,Хлеб_ржаной_хрустящий,0
212,7,1,42,Хлеб_украинский_подовый,0
200,7,1,39,Хлеб_украинский_формовой,0
300,13,2,55,Хлебцы,0
317,10,1,64,Баранки_простые,0
349,8,8,60,Баранки_сдобные,0
262,8,3,50,Батон_нарезной,0
235,8,1,49,Батон_простой,0
284,8,6,49,Батон_столовый,0
273,9,3,51,Батончик_с_отрубями,0
284,9,1,58,Бублики,0
261,8,3,51,Булка_городская,0
300,8,5,54,Булочка_кунцевская,0
220,7.8,1.8,43.9,Булочка_отрубная,0
249,8,1,51,Калач_московский,0
336,8,9,56,Плюшка_московская,0
314,8,6,57,Рожки_обсыпные,0
259,8,2,50,Сайка_простая,0
304,7,5,56,Сдоба_выборгская_с_маком,0
293,7,4,57,Сдоба_выборгская_с_повидлом,0
292,8,5,52,Сдоба_донская,0
299,8,5,54,Сдоба_обыкновенная,0
373,10,6,69,Соломка_сладкая,0
380,10,7,69,Сушки_новые,0
335,11,1,68,Сушки_простые,0
